bookID,Title,Author,Genre,stack,Publisher
2,Fundamentals of Wavelets,"Goswami, Jaideva",signal_processing,228,Wiley
3,Data Smart,"Foreman, John",data_science,235,Wiley
4,God Created the Integers,"Hawking, Stephen",mathematics,197,Penguin
5,Superfreakonomics,"Dubner, Stephen",economics,179,HarperCollins
6,Orientalism,"Said, Edward",history,197,Penguin
7,"Nature of Statistical Learning Theory, The","Vapnik, Vladimir",data_science,230,Springer
8,Integration of the Indian States,"Menon, V P",history,217,Orient Blackswan
9,"Drunkard's Walk, The","Mlodinow, Leonard",science,197,Penguin
10,Image Processing & Mathematical Morphology,"Shih, Frank",signal_processing,241,CRC
11,How to Think Like Sherlock Holmes,"Konnikova, Maria",psychology,240,Penguin
12,Data Scientists at Work,Sebastian Gutierrez,data_science,230,Apress
13,Slaughterhouse Five,"Vonnegut, Kurt",fiction,198,Random House
14,Birth of a Theorem,"Villani, Cedric",mathematics,234,Bodley Head
15,Structure & Interpretation of Computer Programs,"Sussman, Gerald",computer_science,240,MIT Press
16,"Age of Wrath, The","Eraly, Abraham",history,238,Penguin
17,"Trial, The","Kafka, Frank",fiction,198,Random House
18,Statistical Decision Theory',"Pratt, John",data_science,236,MIT Press
19,Data Mining Handbook,"Nisbet, Robert",data_science,242,Apress
20,"New Machiavelli, The","Wells, H. G.",fiction,180,Penguin
21,Physics & Philosophy,"Heisenberg, Werner",science,197,Penguin
22,Making Software,"Oram, Andy",computer_science,232,O'Reilly
23,"Analysis, Vol I","Tao, Terence",mathematics,248,HBA
24,Machine Learning for Hackers,"Conway, Drew",data_science,233,O'Reilly
25,"Signal and the Noise, The","Silver, Nate",data_science,233,Penguin
26,Python for Data Analysis,"McKinney, Wes",data_science,233,O'Reilly
27,Introduction to Algorithms,"Cormen, Thomas",computer_science,234,MIT Press
28,"Beautiful and the Damned, The","Deb, Siddhartha",nonfiction,198,Penguin
29,"Outsider, The","Camus, Albert",fiction,198,Penguin
30,"Complete Sherlock Holmes, The - Vol I","Doyle, Arthur Conan",fiction,176,Random House
31,"Complete Sherlock Holmes, The - Vol II","Doyle, Arthur Conan",fiction,176,Random House
32,"Wealth of Nations, The","Smith, Adam",economics,175,Random House
33,"Pillars of the Earth, The","Follett, Ken",fiction,176,Random House
34,Mein Kampf,"Hitler, Adolf",nonfiction,212,Rupa
35,"Tao of Physics, The","Capra, Fritjof",science,179,Penguin
36,Surely You're Joking Mr Feynman,"Feynman, Richard",science,198,Random House
37,"Farewell to Arms, A","Hemingway, Ernest",fiction,179,Rupa
38,"Veteran, The","Forsyth, Frederick",fiction,177,Transworld
39,False Impressions,"Archer, Jeffery",fiction,177,Pan
40,"Last Lecture, The","Pausch, Randy",nonfiction,197,Hyperion
41,Return of the Primitive,"Rand, Ayn",philosophy,202,Penguin
42,Jurassic Park,"Crichton, Michael",fiction,174,Random House
43,"Russian Journal, A","Steinbeck, John",nonfiction,196,Penguin
44,Tales of Mystery and Imagination,"Poe, Edgar Allen",fiction,172,HarperCollins
45,Freakonomics,"Dubner, Stephen",economics,197,Penguin
46,"Hidden Connections, The","Capra, Fritjof",science,197,HarperCollins
47,"Story of Philosophy, The","Durant, Will",philosophy,170,Pocket
48,Asami Asami,"Deshpande, P L",fiction,205,Mauj
49,Journal of a Novel,"Steinbeck, John",fiction,196,Penguin
50,Once There Was a War,"Steinbeck, John",nonfiction,196,Penguin
51,"Moon is Down, The","Steinbeck, John",fiction,196,Penguin
52,"Brethren, The","Grisham, John",fiction,174,Random House
53,In a Free State,"Naipaul, V. S.",fiction,196,Rupa
54,Catch 22,"Heller, Joseph",fiction,178,Random House
55,"Complete Mastermind, The",BBC,nonfiction,178,BBC
56,Dylan on Dylan,"Dylan, Bob",nonfiction,197,Random House
57,Soft Computing & Intelligent Systems,"Gupta, Madan",data_science,242,Elsevier
58,Textbook of Economic Theory,"Stonier, Alfred",economics,242,Pearson
59,Econometric Analysis,"Greene, W. H.",economics,242,Pearson
60,Learning OpenCV,"Bradsky, Gary",data_science,232,O'Reilly
61,Data Structures Using C & C++,"Tanenbaum, Andrew",computer_science,235,Prentice Hall
62,"Computer Vision, A Modern Approach","Forsyth, David",data_science,255,Pearson
63,Principles of Communication Systems,"Taub, Schilling",computer_science,240,TMH
64,Let Us C,"Kanetkar, Yashwant",computer_science,213,Prentice Hall
65,"Amulet of Samarkand, The","Stroud, Jonathan",fiction,179,Random House
66,Crime and Punishment,"Dostoevsky, Fyodor",fiction,180,Penguin
67,Angels & Demons,"Brown, Dan",fiction,178,Random House
68,"Argumentative Indian, The","Sen, Amartya",nonfiction,209,Picador
69,Sea of Poppies,"Ghosh, Amitav",fiction,197,Penguin
70,"Idea of Justice, The","Sen, Amartya",nonfiction,212,Penguin
71,"Raisin in the Sun, A","Hansberry, Lorraine",fiction,175,Penguin
72,All the President's Men,"Woodward, Bob",history,177,Random House
73,"Prisoner of Birth, A","Archer, Jeffery",fiction,176,Pan
74,Scoop!,"Nayar, Kuldip",history,216,HarperCollins
75,Ahe Manohar Tari,"Deshpande, Sunita",nonfiction,213,Mauj
76,"Last Mughal, The","Dalrymple, William",history,199,Penguin
77,"Social Choice & Welfare, Vol 39 No. 1",Various,economics,235,Springer
78,Radiowaril Bhashane & Shrutika,"Deshpande, P L",nonfiction,213,Mauj
79,Gun Gayin Awadi,"Deshpande, P L",nonfiction,212,Mauj
80,Aghal Paghal,"Deshpande, P L",nonfiction,212,Mauj
81,Maqta-e-Ghalib,"Garg, Sanjay",fiction,221,Mauj
82,Beyond Degrees,,nonfiction,222,HarperCollins
83,Manasa,"Kale, V P",nonfiction,213,Mauj
84,India from Midnight to Milennium,"Tharoor, Shashi",history,198,Penguin
85,"World's Greatest Trials, The",,history,210,
86,"Great Indian Novel, The","Tharoor, Shashi",fiction,198,Penguin
87,O Jerusalem!,"Lapierre, Dominique",history,217,vikas
88,"City of Joy, The","Lapierre, Dominique",fiction,177,vikas
89,Freedom at Midnight,"Lapierre, Dominique",history,167,vikas
90,"Winter of Our Discontent, The","Steinbeck, John",fiction,196,Penguin
91,On Education,"Russell, Bertrand",philosophy,203,Routledge
92,Free Will,"Harris, Sam",philosophy,203,FreePress
93,Bookless in Baghdad,"Tharoor, Shashi",nonfiction,206,Penguin
94,"Case of the Lame Canary, The","Gardner, Earle Stanley",fiction,179,
95,"Theory of Everything, The","Hawking, Stephen",science,217,Jaico
96,New Markets & Other Essays,"Drucker, Peter",economics,176,Penguin
97,Electric Universe,"Bodanis, David",science,201,Penguin
98,"Hunchback of Notre Dame, The","Hugo, Victor",fiction,175,Random House
99,Burning Bright,"Steinbeck, John",fiction,175,Penguin
100,"Age of Discontuinity, The","Drucker, Peter",economics,178,Random House
101,Doctor in the Nude,"Gordon, Richard",fiction,179,Penguin
102,Down and Out in Paris & London,"Orwell, George",nonfiction,179,Penguin
103,Identity & Violence,"Sen, Amartya",philosophy,219,Penguin
104,Beyond the Three Seas,"Dalrymple, William",history,197,Random House
105,"World's Greatest Short Stories, The",,fiction,217,Jaico
106,Talking Straight,"Iacoca, Lee",nonfiction,175,
107,"Maugham's Collected Short Stories, Vol 3","Maugham, William S",fiction,171,Vintage
108,"Phantom of Manhattan, The","Forsyth, Frederick",fiction,180,
109,Ashenden of The British Agent,"Maugham, William S",fiction,160,Vintage
110,Zen & The Art of Motorcycle Maintenance,"Pirsig, Robert",philosophy,172,Vintage
111,"Great War for Civilization, The","Fisk, Robert",history,197,HarperCollins
112,We the Living,"Rand, Ayn",fiction,178,Penguin
113,"Artist and the Mathematician, The","Aczel, Amir",science,186,HighStakes
114,History of Western Philosophy,"Russell, Bertrand",philosophy,213,Routledge
115,Selected Short Stories,,fiction,215,Jaico
116,Rationality & Freedom,"Sen, Amartya",economics,213,Springer
117,Clash of Civilizations and Remaking of the World Order,"Huntington, Samuel",history,228,Simon&Schuster
118,Uncommon Wisdom,"Capra, Fritjof",nonfiction,197,Fontana
119,One,"Bach, Richard",nonfiction,172,Dell
120,Karl Marx Biography,,nonfiction,162,
121,To Sir With Love,Braithwaite,fiction,197,Penguin
122,Half A Life,"Naipaul, V S",fiction,196,
123,"Discovery of India, The","Nehru, Jawaharlal",history,230,
124,Apulki,"Deshpande, P L",nonfiction,211,
125,Unpopular Essays,"Russell, Bertrand",philosophy,198,
126,"Deceiver, The","Forsyth, Frederick",fiction,178,
127,Veil: Secret Wars of the CIA,"Woodward, Bob",history,171,
128,Char Shabda,"Deshpande, P L",nonfiction,214,
129,Rosy is My Relative,"Durrell, Gerald",fiction,176,
130,"Moon and Sixpence, The","Maugham, William S",fiction,180,
131,Political Philosophers,,philosophy,162,
132,"Short History of the World, A","Wells, H G",history,197,
133,"Trembling of a Leaf, The","Maugham, William S",fiction,205,
134,Doctor on the Brain,"Gordon, Richard",fiction,204,
135,Simpsons & Their Mathematical Secrets,"Singh, Simon",science,233,
136,Pattern Classification,"Duda, Hart",data_science,241,
137,From Beirut to Jerusalem,"Friedman, Thomas",history,202,
138,"Code Book, The","Singh, Simon",science,197,
139,"Age of the Warrior, The","Fisk, Robert",history,197,
140,Final Crisis,,comic,257,
141,"Killing Joke, The",,comic,283,
142,Flashpoint,,comic,265,
143,Batman Earth One,,comic,265,
144,Crisis on Infinite Earths,,comic,258,
145,"Numbers Behind Numb3rs, The","Devlin, Keith",science,202,
146,Superman Earth One - 1,,comic,259,
